상호명,지점명,상권업종대분류명,대분류코드명,상권업종중분류명,중분류코드명,상권업종소분류명,시도코드,시도명,시군구코드,시군구명,행정동명,법정동명,도로명주소,전화변호,영업시간,위도,경도,일층,경사로,입구턱,입구문턱,테이블석,화장실턱,화장실문턱,장애인화장실,엘리베이터,주차장,장애인주차장,테이크아웃
장인닭갈비,공덕점,음식점,R,한식,R1,족발,11,서울특별시,11650,마포구,도화동,도화동,서울 마포구 마포대로 92 B동 1층 3호,0507-1429-1730,,37.5425367101265,126.951926592328,N,N,N,N,Y,N,N,N,Y,N,N,N
스타벅스,공덕오거리점,카페,C,카페,C1,카페,11,서울특별시,11650,마포구,도화동,도화동,서울 마포구 마포대로 86 창강빌딩,1522-3232,,37.542761447847,126.950684581015,Y,N,Y,N,Y,N,N,N,N,N,N,Y
마포양지설렁탕,,음식점,R,한식,R1,족발,11,서울특별시,11650,마포구,도화동,도화동,서울 마포구 새창로 6,02-716-8616,,37.5420203037271,126.950512510784,Y,Y,N,N,Y,N,N,N,N,N,N,N
영진마라탕,마포점,음식점,R,한식,R1,족발,11,서울특별시,11650,마포구,도화동,도화동,서울 마포구 도화길 43 2층 삼보나눔빌딩 201호,02-6949-0866,,37.5417769340746,126.950275051011,N,N,N,N,Y,N,N,N,Y,N,N,N
스시소라,마포점,음식점,R,한식,R1,족발,11,서울특별시,11650,마포구,도화동,도화동,서울 마포구 마포대로 68 마포아크로타워 지하1층,02-701-2200,,37.5413236230918,126.948965617712,N,N,N,N,Y,N,N,N,Y,N,N,N
카페요아정,공덕점,카페,C,카페,C1,카페,11,서울특별시,11650,마포구,도화동,도화동,서울 마포구 마포대로 53 마포트라팰리스 118호,0507-1357-5841,,37.5416360956223,126.947539683638,Y,N,N,N,Y,N,N,N,N,N,N,Y
써브웨이,마포점,음식점,R,한식,R1,족발,11,서울특별시,11650,마포구,도화동,도화동,서울 마포구 마포대로 53 마포트라팰리스 1층,02-715-0080,,37.5412079986848,126.947265590421,Y,Y,Y,N,Y,N,N,N,N,N,N,N
맥도날드,공덕점,음식점,R,한식,R1,족발,11,서울특별시,11650,마포구,도화동,도화동,서울 마포구 마포대로 55-1 마포트라팰리스 1층,02-6743-6300,,37.5410479826887,126.947067687859,Y,Y,N,N,Y,N,N,N,N,N,N,N
뺑스톡,공덕점,카페,C,카페,C1,카페,11,서울특별시,11650,마포구,공덕동,공덕동,서울 마포구 백범로31길 8 201동 113호,0507-1332-0577,,37.544907538431,126.94940731752328 ,Y,N,N,N,Y,N,N,N,N,N,N,Y
봉평옹심이메밀칼국수,,음식점,R,한식,R1,족발,11,서울특별시,11650,마포구,공덕동,공덕동,서울 마포구 만리재옛길 19 1층 봉평옹심이메밀칼국수,0507-1351-0058,,37.5459437973401,126.955259765446,Y,Y,N,N,Y,N,N,N,N,N,N,N
할리스,공덕점,카페,C,카페,C1,카페,11,서울특별시,11650,마포구,공덕동,공덕동,서울 마포구 마포대로 143,02-701-5785,,37.5476143986285,126.953318047153,Y,N,N,N,Y,N,N,N,N,N,N,Y
찰나,,음식점,R,한식,R1,족발,11,서울특별시,11650,마포구,공덕동,공덕동,서울 마포구 백범로 170 102동 1층 11호,0507-1363-5598,,37.5443238978509,126.948841929288,Y,N,N,N,Y,N,N,N,N,N,N,N
이디야커피,공덕롯데캐슬점,카페,C,카페,C1,카페,11,서울특별시,11650,마포구,공덕동,공덕동,서울 마포구 마포대로 109 지하1층 120호,02-706-5690,,37.5443238978509,126.948841929288,N,N,N,N,Y,N,N,N,Y,N,N,Y
